file_date,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
2017-07-11 03:09:34 AM,353,S Portland Ave & Hanson Pl,17,27,40.68539567,-73.97431458,In Service,1,10,S Portland Ave & Hanson Pl,,,,,,False,2017-07-11 03:08:52 AM,
2017-07-11 03:09:34 AM,354,Emerson Pl & Myrtle Ave,2,23,40.69363137,-73.96223558,In Service,1,19,Emerson Pl & Myrtle Ave,,,,,,False,2017-07-11 03:08:08 AM,
2017-07-11 03:09:34 AM,355,Bayard St & Baxter St,32,43,40.71602118,-73.99974372,In Service,1,8,Bayard St & Baxter St,,,,,,False,2017-07-11 03:08:24 AM,
2017-07-11 03:09:34 AM,356,Bialystoker Pl & Delancey St,2,23,40.71622644,-73.98261206,In Service,1,21,Bialystoker Pl & Delancey St,,,,,,False,2017-07-11 03:06:20 AM,
2017-07-11 03:09:34 AM,357,E 11 St & Broadway,24,27,40.73261787,-73.99158043,In Service,1,1,E 11 St & Broadway,,,,,,False,2017-07-11 03:08:15 AM,
2017-07-11 03:09:34 AM,358,Christopher St & Greenwich St,5,36,40.73291553,-74.00711384,In Service,1,28,Christopher St & Greenwich St,,,,,,False,2017-07-11 03:07:28 AM,
2017-07-11 03:09:34 AM,359,E 47 St & Park Ave,53,53,40.75510267,-73.97498696,In Service,1,0,E 47 St & Park Ave,,,,,,False,2017-07-11 03:07:21 AM,
2017-07-11 03:09:34 AM,360,William St & Pine St,39,39,40.70717936,-74.00887308,In Service,1,0,William St & Pine St,,,,,,False,2017-07-11 03:09:32 AM,
2017-07-11 03:09:34 AM,361,Allen St & Hester St,1,43,40.71605866,-73.99190759,In Service,1,40,Allen St & Hester St,,,,,,False,2017-07-11 03:07:53 AM,
2017-07-11 03:09:34 AM,363,West Thames St,8,49,40.70834698,-74.01713445,In Service,1,39,West Thames St,,,,,,False,2017-07-11 03:06:18 AM,
2017-07-11 03:09:34 AM,364,Lafayette Ave & Classon Ave,4,27,40.68900443,-73.96023854,In Service,1,22,Lafayette Ave & Classon Ave,,,,,,False,2017-07-11 03:09:09 AM,
2017-07-11 03:09:34 AM,365,Fulton St & Grand Ave,1,31,40.68223166,-73.9614583,In Service,1,29,Fulton St & Grand Ave,,,,,,False,2017-07-11 03:06:08 AM,
2017-07-11 03:09:34 AM,366,Clinton Ave & Myrtle Ave,2,33,40.693261,-73.968896,In Service,1,29,Clinton Ave & Myrtle Ave,,,,,,False,2017-07-11 03:07:11 AM,
2017-07-11 03:09:34 AM,368,Carmine St & 6 Ave,20,39,40.73038599,-74.00214988,In Service,1,15,Carmine St & 6 Ave,,,,,,False,2017-07-11 03:06:24 AM,
2017-07-11 03:09:34 AM,369,Washington Pl & 6 Ave,33,35,40.73224119,-74.00026394,In Service,1,1,Washington Pl & 6 Ave,,,,,,False,2017-07-11 03:06:36 AM,
2017-07-11 03:09:34 AM,372,Franklin Ave & Myrtle Ave,24,27,40.694528,-73.958089,In Service,1,2,Franklin Ave & Myrtle Ave,,,,,,False,2017-07-11 03:05:38 AM,
